Hour,Net_Grid,Electric_Demand,PV_Production
395,44.61140704438256,90.52699297179095,0.6520894415129144
396,41.015033328647704,83.29856223287864,0.6342477877916128
397,49.31600522508127,100.67608182865668,1.0220356892470723
398,38.40931090093526,77.45959537347346,0.32048678580146955
399,25.57334618667116,51.309896540517045,0.08160208358736365
400,24.588987262498375,49.17797452499675,0.0
401,30.071042559362404,60.14208511872481,0.0
402,35.331719911398665,70.66343982279733,0.0
403,58.26739264375289,116.53478528750578,0.0
404,69.17098945088335,138.3419789017667,0.0
405,52.47761806217775,104.9552361243555,0.0
406,45.440674880381806,90.88134976076361,0.0
407,40.22739410986178,80.45478821972355,0.0
408,8.39873655549078,16.79747311098156,0.0
409,13.886009595716219,27.772019191432438,0.0
410,18.318938778048196,36.63787755609639,0.0
411,20.768856842359376,41.53771368471875,0.0
412,22.607666576079847,45.215333152159694,0.0
413,24.42915135214118,48.85830270428236,0.0
414,28.169024103796204,56.33804820759241,0.0
415,78.87077164387422,157.74154328774844,0.0
416,66.90958184130923,138.1329294147238,2.1568828660526664
417,14.862605303271863,37.24753271347347,3.7611610534648707
418,26.29670104048229,62.40681006624696,4.906703992641193
419,23.508986308335555,57.634301972492885,5.308164677910889
420,24.69790377906511,58.964296800513864,4.784244621191822
421,47.983664419562466,104.1869939986544,4.109832579764737
422,46.33166232039014,98.2484098583996,2.7925426088096588
423,34.6345726969731,71.16708779963082,0.9489712028423102
424,34.434110907532464,68.86822181506493,0.0
425,33.200891849516864,66.40178369903373,0.0
426,35.40961310206939,70.81922620413879,0.0
427,52.18368018254738,104.36736036509475,0.0
428,98.16838961651725,196.3367792330345,0.0
429,68.28520833804936,136.57041667609872,0.0
430,59.81747977445747,119.63495954891494,0.0
431,51.49196434127839,102.98392868255678,0.0
432,13.21624615978979,26.43249231957958,0.0
433,22.821163794928953,45.642327589857906,0.0
434,26.303817687230566,52.60763537446113,0.0
435,27.92959576430987,55.85919152861974,0.0
436,29.40438770375902,58.80877540751804,0.0
437,31.245064222104155,62.49012844420831,0.0
438,34.29341570666963,68.58683141333925,0.0
439,83.73213486406848,167.46426972813697,0.0
440,73.39255474225597,148.30165969925113,0.758275107369596
441,21.718263178403745,44.956275915498445,0.7598747793454785
442,34.33178064382152,71.4772377445029,1.4068382284299297
443,29.84728498235021,63.16729418972932,1.7363621125144477
444,27.997255905744435,59.79625450357922,1.900871346045174
445,48.091281123834186,101.0356939507479,2.426565851539766
446,44.476487102472994,92.06051955601009,1.55377267553205
447,34.2224049530426,69.46408767654934,0.5096388852320682
448,33.99465334983364,67.98930669966728,0.0
449,33.31379633755864,66.62759267511728,0.0
450,35.93143321992634,71.86286643985268,0.0
451,52.548163280254606,105.09632656050921,0.0
452,98.50584766590705,197.0116953318141,0.0
453,68.52313751728656,137.0462750345731,0.0
454,60.26474172293243,120.52948344586486,0.0
455,52.170024277420396,104.34004855484079,0.0
456,13.59469475257918,27.18938950515836,0.0
457,24.44069658375224,48.88139316750448,0.0
458,27.391076633387677,54.78215326677535,0.0
459,29.077617441018713,58.155234882037426,0.0
460,30.3063050729158,60.6126101458316,0.0
461,31.863310987979336,63.72662197595867,0.0
462,34.59279693936755,69.1855938787351,0.0
463,83.13651777841851,166.27303555683702,0.0
464,70.16864643048055,144.97017566862107,2.3164414038299794
465,13.066100444665885,34.05545261591913,3.9616258632936794
466,22.640538186650176,55.42543961726382,5.072181621981736
467,23.737071881840983,58.774471299556204,5.650163767937121
468,24.56398715602675,60.19630255409329,5.534164121019894
469,39.52344865178264,88.30107409354949,4.6270883949921044
470,33.89508305110933,74.0706089792777,3.1402214385295184
471,28.610826079166713,60.7481283125182,1.7632380770923846
472,31.16035543657843,62.32071087315686,0.0
473,31.966139152761443,63.932278305522885,0.0
474,33.05828409637951,66.11656819275902,0.0
475,52.80235188755335,105.6047037751067,0.0
476,98.21818640187809,196.43637280375617,0.0
477,68.2974645077979,136.5949290155958,0.0
478,58.37377179599593,116.74754359199186,0.0
479,51.0422027942709,102.0844055885418,0.0
480,11.753579401148757,23.507158802297514,0.0
481,22.66240518198657,45.32481036397314,0.0
482,25.566911889296314,51.13382377859263,0.0
483,27.032233667025565,54.06446733405113,0.0
484,27.970128441896378,55.940256883792756,0.0
485,29.507673250958188,59.015346501916376,0.0
486,32.62624403935878,65.25248807871756,0.0
487,81.68052684830026,163.36105369660052,0.0
488,68.80474820600462,142.3285601672788,2.359531877634777
489,11.049383856952222,30.20824529536605,4.054738790730803
490,20.218636388587555,50.56090114951199,5.061814186168442
491,21.646936342946898,53.66836218244816,5.187244748277184
492,19.511493387229116,50.22941843595358,5.603215830747674
493,32.275196687505584,74.23743679511905,4.8435217100539445
494,24.405520531162864,55.02426073783967,3.1066098377569693
495,15.13971370368876,34.254457115371856,1.987514853997168
496,15.93461672161806,31.86923344323612,0.0
497,19.22844209832823,38.45688419665646,0.0
498,23.74304811467143,47.48609622934286,0.0
499,46.48361621926335,92.9672324385267,0.0
500,93.90092265967152,187.80184531934304,0.0
501,64.00459415871788,128.00918831743576,0.0
502,54.00381514489585,108.0076302897917,0.0
503,46.28786636557944,92.57573273115888,0.0
504,8.377557687275603,16.755115374551206,0.0
505,17.28935869563319,34.57871739126638,0.0
506,19.53482867648161,39.06965735296322,0.0
507,21.333288631323718,42.666577262647436,0.0
508,22.49042451363071,44.98084902726142,0.0
509,24.553093357573047,49.106186715146094,0.0
510,27.991593955725307,55.983187911450614,0.0
511,77.81983084347489,155.63966168694978,0.0
512,66.57463164556043,135.4680774490103,1.159407078944723
513,9.809128995570607,24.996977601347947,2.689359805103366
514,17.961569083542116,44.360793250651454,4.21882754178361
515,15.758868891402685,41.23399652372134,4.858129370457984
516,11.82621336364991,34.207667743198414,5.277620507949298
517,26.250654223414074,62.2488558579872,4.873773705579529
518,18.107209557552977,43.24714589364003,3.516363389267037
519,10.278833124609601,24.223731874512552,1.8330328126466737
520,12.970586025811247,25.941172051622495,0.0
521,16.38195807765303,32.76391615530606,0.0
522,20.10821800292253,40.21643600584506,0.0
523,43.60118807019526,87.20237614039053,0.0
524,91.24042160281842,182.48084320563683,0.0
525,61.1899676023745,122.379935204749,0.0
526,51.351995938291594,102.70399187658319,0.0
527,44.2163950492682,88.4327900985364,0.0
528,8.519320376583687,17.038640753167375,0.0
529,16.03401184222827,32.06802368445654,0.0
530,20.079738497713034,40.15947699542607,0.0
531,22.641573092197543,45.283146184395086,0.0
532,24.60632001542223,49.21264003084446,0.0
533,26.413841395035163,52.82768279007033,0.0
534,30.06253434826592,60.12506869653184,0.0
535,42.876570730143335,85.75314146028667,0.0
536,82.41645252487315,167.01816011963828,1.0926275349459953
537,50.83999098279289,105.83622119523626,2.078119614825243
538,47.30563658483386,97.64261410190605,1.515670466119161
539,42.752082015728256,90.00047876203735,2.248157365290418
540,40.85279793102308,84.2920310736314,1.2932176057926204
541,52.626930435275455,109.33463666413061,2.040387896789849
542,44.3106169883963,90.47598525610366,0.9273756396555319
